Step,Source
1,A1
1,C1
1,E1
1,G1
1,I1
1,K1
1,M1
1,O1
2,B1
2,D1
2,F1
2,H1
2,J1
2,L1
2,N1
2,P1
3,A2
3,C2
3,E2
3,G2
3,I2
3,K2
3,M2
3,O2
4,B2
4,D2
4,F2
4,H2
4,J2
4,L2
4,N2
4,P2
5,A3
5,C3
5,E3
5,G3
5,I3
5,K3
5,M3
5,O3
6,B3
6,D3
6,F3
6,H3
6,J3
6,L3
6,N3
6,P3
7,A4
7,C4
7,E4
7,G4
7,I4
7,K4
7,M4
7,O4
8,B4
8,D4
8,F4
8,H4
8,J4
8,L4
8,N4
8,P4
9,A5
9,C5
9,E5
9,G5
9,I5
9,K5
9,M5
9,O5
10,B5
10,D5
10,F5
10,H5
10,J5
10,L5
10,N5
10,P5
11,A6
11,C6
11,E6
11,G6
11,I6
11,K6
11,M6
11,O6
12,B6
12,D6
12,F6
12,H6
12,J6
12,L6
12,N6
12,P6
13,A7
13,C7
13,E7
13,G7
13,I7
13,K7
13,M7
13,O7
14,B7
14,D7
14,F7
14,H7
14,J7
14,L7
14,N7
14,P7
15,A8
15,C8
15,E8
15,G8
15,I8
15,K8
15,M8
15,O8
16,B8
16,D8
16,F8
16,H8
16,J8
16,L8
16,N8
16,P8
17,A9
17,C9
17,E9
17,G9
17,I9
17,K9
17,M9
17,O9
18,B9
18,D9
18,F9
18,H9
18,J9
18,L9
18,N9
18,P9
19,A10
19,C10
19,E10
19,G10
19,I10
19,K10
19,M10
19,O10
20,B10
20,D10
20,F10
20,H10
20,J10
20,L10
20,N10
20,P10
21,A11
21,C11
21,E11
21,G11
21,I11
21,K11
21,M11
21,O11
22,B11
22,D11
22,F11
22,H11
22,J11
22,L11
22,N11
22,P11
23,A12
23,C12
23,E12
23,G12
23,I12
23,K12
23,M12
23,O12
24,B12
24,D12
24,F12
24,H12
24,J12
24,L12
24,N12
24,P12
25,A13
25,C13
25,E13
25,G13
25,I13
25,K13
25,M13
25,O13
26,B13
26,D13
26,F13
26,H13
26,J13
26,L13
26,N13
26,P13
27,A14
27,C14
27,E14
27,G14
27,I14
27,K14
27,M14
27,O14
28,B14
28,D14
28,F14
28,H14
28,J14
28,L14
28,N14
28,P14
29,A15
29,C15
29,E15
29,G15
29,I15
29,K15
29,M15
29,O15
30,B15
30,D15
30,F15
30,H15
30,J15
30,L15
30,N15
30,P15
31,A16
31,C16
31,E16
31,G16
31,I16
31,K16
31,M16
31,O16
32,B16
32,D16
32,F16
32,H16
32,J16
32,L16
32,N16
32,P16
33,A17
33,C17
33,E17
33,G17
33,I17
33,K17
33,M17
33,O17
34,B17
34,D17
34,F17
34,H17
34,J17
34,L17
34,N17
34,P17
35,A18
35,C18
35,E18
35,G18
35,I18
35,K18
35,M18
35,O18
36,B18
36,D18
36,F18
36,H18
36,J18
36,L18
36,N18
36,P18
37,A19
37,C19
37,E19
37,G19
37,I19
37,K19
37,M19
37,O19
38,B19
38,D19
38,F19
38,H19
38,J19
38,L19
38,N19
38,P19
39,A20
39,C20
39,E20
39,G20
39,I20
39,K20
39,M20
39,O20
40,B20
40,D20
40,F20
40,H20
40,J20
40,L20
40,N20
40,P20
41,A21
41,C21
41,E21
41,G21
41,I21
41,K21
41,M21
41,O21
42,B21
42,D21
42,F21
42,H21
42,J21
42,L21
42,N21
42,P21
43,A22
43,C22
43,E22
43,G22
43,I22
43,K22
43,M22
43,O22
44,B22
44,D22
44,F22
44,H22
44,J22
44,L22
44,N22
44,P22
45,A23
45,C23
45,E23
45,G23
45,I23
45,K23
45,M23
45,O23
46,B23
46,D23
46,F23
46,H23
46,J23
46,L23
46,N23
46,P23
47,A24
47,C24
47,E24
47,G24
47,I24
47,K24
47,M24
47,O24
48,B24
48,D24
48,F24
48,H24
48,J24
48,L24
48,N24
48,P24